MO_Name;Weekday;Hour;Provider;Number
Мякинино-Волоколамская-Митино-Пятницкое шоссе;пн;0.0;1;0.38164415544393
Бульвар Дмитрия Донского;пн;0.0;1;0.37163701340806476
Новокосино;пн;0.0;1;0.6289241765373423
Аэропорт Шереметьево;пн;0.0;1;0.08576238770975214
Аэропорт Домодедово;пн;0.0;1;0.0
Аэропорт Внуково;пн;0.0;1;0.0
Филёвский Парк;пн;1.0;1;0.2033784654974486
Щукино;пн;1.0;1;0.17859768093974443
Нагатинский Затон;пн;1.0;1;0.20510455260513133
Дмитровский;пн;1.0;1;0.1882366208236349
Тёплый Стан;пн;1.0;1;0.24473949429545852
Ховрино;пн;1.0;1;0.6401437005048786
Ломоносовский;пн;1.0;1;0.3482050686081255
Можайский;пн;1.0;1;0.27144399217192794
Строгино;пн;1.0;1;0.15354116822213187
Крылатское;пн;1.0;1;0.31436478825416014
Головинский;пн;1.0;1;0.27199936766558713
Южное Тушино;пн;1.0;1;0.11250599488326869
Северное Тушино;пн;1.0;1;0.32662643015776927
Черёмушки;пн;1.0;1;0.32672071799413793
Покровское-Стрешнево;пн;1.0;1;0.1425307234631359
Хорошёво-Мнёвники;пн;1.0;1;0.19727287169176402
Очаково-Матвеевское;пн;1.0;1;0.22323414511182949
Тропарёво-Никулино;пн;1.0;1;0.2692239931103981
Левобережный;пн;1.0;1;0.31859592672341863
Фили-Давыдково;пн;1.0;1;0.3571191227255911
Обручевский;пн;1.0;1;0.45752648122551354
Раменки;пн;1.0;1;0.4173015673858496
Войковский;пн;1.0;1;0.4160094585314148
Сокол;пн;1.0;1;0.6865186839863767
Западное Дегунино;пн;1.0;1;0.24520174429899383
Проспект Вернадского;пн;1.0;1;0.2844449351756762
Ясенево;пн;1.0;1;0.09005767749630003
Дорогомилово;пн;1.0;1;0.2856328124952944
Коньково;пн;1.0;1;0.4801639996592217
Хорошёвский;пн;1.0;1;0.37394498291365746
Беговой;пн;1.0;1;0.39654641649817085
Коптево;пн;1.0;1;0.5734060170306674
Аэропорт;пн;1.0;1;0.4005895981507683
Пресненский;пн;1.0;1;0.34441425245466134
Бескудниковский;пн;1.0;1;0.4337650722404075
Гагаринский;пн;1.0;1;0.2900324098698044
