Epoch;ExternalName;GasPercent;Latitude;Longitude;ModelName;Provider;RecordId;RegistrationNumber
57190;;76,96;55.8723946;37.6879463;Hyundai Solaris;1;24625724;п927пл777
57190;;36,71;55.5978775;37.5838013;Hyundai Solaris;1;24625725;п910пл777
57190;;67,85;55.7812691;37.8307533;Hyundai Solaris;1;24625726;п926пл777
57190;;20;55.727253;37.7089424;Hyundai Solaris;1;24625727;п919пл777
57190;;56,2;55.6172752;37.645874;Hyundai Solaris;1;24625728;п939пл777
57190;;65,82;55.721859;37.4559364;Hyundai Solaris;1;24625729;п921пл777
57190;;48,35;55.7463913;37.7828712;Hyundai Solaris;1;24625730;п862пл777
57190;;26,58;55.6997299;37.8448639;Hyundai Solaris;1;24625731;п876пл777
57190;;61,27;55.6999321;37.8661041;Hyundai Solaris;1;24625732;п875пл777
57190;;0;55.7431412;37.6866875;Hyundai Solaris;1;24625733;п878пл777
57190;;80,51;55.7392502;37.4697227;Hyundai Solaris;1;24625734;п945пл777
57190;;14,18;55.8145981;37.832283;Hyundai Solaris;1;24625735;п889пл777
57190;;77,98;55.6819038;37.7734871;Hyundai Solaris;1;24625736;п954пл777
57190;;66,07;55.6793213;37.4526062;Hyundai Solaris;1;24625737;п894пл777
57190;;29,12;55.6120148;37.7052383;Hyundai Solaris;1;24625738;п942пл777
57190;;51,9;55.7134438;37.5955734;Hyundai Solaris;1;24625739;п930пл777
57190;;36,46;55.7010536;37.5042;Hyundai Solaris;1;24625740;п958пл777
57190;;23,04;55.8701973;37.5885124;Hyundai Solaris;1;24625741;п918пл777
57190;;57,21;55.7380333;37.7051163;Hyundai Solaris;1;24625742;п924пл777
57190;;42,02;55.8388062;37.4001083;Hyundai Solaris;1;24625743;п920пл777
57190;;22,02;55.7112579;37.4792137;Hyundai Solaris;1;24625744;п887пл777
57190;;45,06;55.5386581;37.5366707;Hyundai Solaris;1;24625745;п850пл777
57190;;52,66;55.8963966;37.6103401;Hyundai Solaris;1;24625746;б548ну777
57190;;81,27;55.7901878;37.6351891;Hyundai Solaris;1;24625747;б549ну777
57190;;78,73;55.7642326;37.7306213;Hyundai Solaris;1;24625748;б550ну777
57190;;67,09;55.6359215;37.7051315;Hyundai Solaris;1;24625749;б551ну777
